Capability_ID;Capability;Subcapability;PrioritÃ¤t(MUSS/SOLL/KANN);NeuroERP_Status(Yes/Partial/No);Evidence_Screenshot_IDs;Evidence_Flow_IDs;Gap_Beschreibung;Loesungstyp(A/B/C/D);Prioritaet(1-5);Owner;Notes;Baseline_ERP
FIBU-TAX-01;Steuern/Compliance;SteuerschlÃ¼ssel-System;MUSS;Partial;20251124_095102_03_finance_module.png;;steuerschluessel.tsx vorhanden, aber Steuerarten/SÃ¤tze/LÃ¤nderlogik/Reverse-Charge unklar;D;2;Frontend;Seite vorhanden, VollstÃ¤ndigkeit prÃ¼fen;Basic
FIBU-TAX-02;Steuern/Compliance;USt-Voranmeldung / ZM / OSS;SOLL;Partial;20251124_095102_03_finance_module.png;;ustva.tsx vorhanden, aber Export BehÃ¶rdenformat (ELSTER) unklar;D;3;Frontend;Seite vorhanden, Export-Format prÃ¼fen;Basic
FIBU-TAX-03;Steuern/Compliance;E-Rechnung (ZUGFeRD/XRechnung);SOLL;No;;;Keine E-Invoice-UI/Import/Export gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-COMP-01;Steuern/Compliance;GoBD / Audit Trail;MUSS;Partial;;;GoBDAuditTrail in services/finance vorhanden, aber Audit-View/Historie/Logs unklar;B;1;Backend;Backend vorhanden, UI fehlt;Basic
FIBU-CLS-01;Abschluss & Kontrolle;Abschlusschecklisten;SOLL;No;;;Keine Closing-Checklist gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-CLS-02;Abschluss & Kontrolle;Nebenbuch-Abstimmung;MUSS;No;;;Keine Reconciliation-Reports gefunden;C;2;Backend;Erforderlich fÃ¼r Abschluss;Missing
FIBU-CLS-03;Abschluss & Kontrolle;Abgrenzungen/RÃ¼ckstellungen;SOLL;No;;;Kein Accruals-Flow gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-REP-01;Reporting;Standardreports (Bilanz/GuV/BWA etc.);MUSS;Partial;20251124_095059_02_dashboard.png;finance_mission_2025-11-24T08-51-19.344194;Dashboard vorhanden, aber Bilanz/GuV/BWA/Saldenliste/Journal/OP-Listen unklar;D;2;Frontend;Dashboard vorhanden, Reports prÃ¼fen;Basic
FIBU-REP-02;Reporting;Drilldown & Analyse;SOLL;No;;;Kein Drilldown-Trace gefunden;C;3;Backend;Nice-to-have;Missing
FIBU-IC-01;Intercompany;IC-Partner & Konten;KANN;No;;;Kein IC-Setup gefunden;C;5;Backend;Optional;Missing
FIBU-IC-02;Intercompany;Verrechnung/Eliminierung;KANN;No;;;Keine IC-Recon-Reports gefunden;C;5;Backend;Optional;Missing
PROC-SUP-01;Supplier Lifecycle;Lieferantenstamm;MUSS;Partial;;;lieferanten-liste.tsx und lieferanten-stamm.tsx vorhanden, aber VollstÃ¤ndigkeit prÃ¼fen: Adressen/Ansprechpartner vorhanden, Bankdaten/Steuerinfos/Gruppen/Sperren/Archivieren unklar;D;2;Frontend;Seiten vorhanden: packages/frontend-web/src/pages/einkauf/lieferanten-liste.tsx, lieferanten-stamm.tsx;Basic
PROC-SUP-02;Supplier Lifecycle;Lieferantenbewertung;SOLL;No;;;Keine Bewertungs-UI/Score-System gefunden, keine Kriterien (QualitÃ¤t, Termintreue, Preis, Service);C;3;Backend;Nice-to-have;Missing
PROC-SUP-03;Supplier Lifecycle;Compliance/Dokumente;SOLL;No;;;Keine Dokumentenverwaltung fÃ¼r Lieferanten gefunden (Zertifikate, RahmenvertrÃ¤ge, NDA, ESG);C;3;Backend;Nice-to-have;Missing
PROC-REQ-01;Requisition-to-Order;Bedarfsmeldung (PR);MUSS;Partial;;;anfrage-stamm.tsx und anfragen-liste.tsx vorhanden, Status-Workflow (ENTWURF â†’ FREIGEGEBEN â†’ ANGEBOTSPHASE) vorhanden, aber Ãœbergang zu Bestellung prÃ¼fen;D;1;Frontend;Seiten vorhanden: packages/frontend-web/src/pages/einkauf/anfrage-stamm.tsx, anfragen-liste.tsx;Basic
PROC-REQ-02;Requisition-to-Order;Bedarfsgenehmigung;MUSS;Partial;;;Workflow-System vorhanden: workflow_service.py, useWorkflow.ts, purchase-order-workflow-service.ts mit Auto-Approval-Threshold, aber Approval-Logik nach Betrag/Warengruppe/Kostenstelle prÃ¼fen;B;1;Backend;Backend vorhanden: app/services/workflow_service.py, packages/purchase-domain/src/domain/services/purchase-order-workflow-service.ts;Basic
PROC-REQ-03;Requisition-to-Order;Katalog / Guided Buying;KANN;No;;;Kein Katalog-System gefunden, keine interne Kataloge/Punchout;C;4;Backend;Optional;Missing
PROC-RFQ-01;Sourcing/RFQ;Anfrage / RFQ;SOLL;Partial;;;anfragen-liste.tsx und anfrage-stamm.tsx vorhanden, aber RFQ-Versand an Lieferanten prÃ¼fen;D;2;Frontend;Seiten vorhanden, RFQ-Versand prÃ¼fen;Basic
PROC-RFQ-02;Sourcing/RFQ;Lieferantenangebote / Bids;SOLL;No;;;Keine Bid-Erfassung gefunden, keine Angebots-Import-FunktionalitÃ¤t;C;3;Backend;Nice-to-have;Missing
PROC-RFQ-03;Sourcing/RFQ;Angebotsvergleich / Award;SOLL;No;;;Keine Vergleichsmatrix gefunden (Preis/Leadtime/Score), keine Entscheidungsdoku;C;3;Backend;Nice-to-have;Missing
PROC-CTR-01;Sourcing/RFQ;RahmenvertrÃ¤ge;SOLL;Partial;;;contracts-v2.tsx vorhanden, aber Abrufe gegen Vertrag prÃ¼fen;D;2;Frontend;Seite vorhanden, Abruf-FunktionalitÃ¤t prÃ¼fen;Basic
PROC-PO-01;Purchase Orders;Bestellung erstellen;MUSS;Partial;;;bestellung-anlegen.tsx, bestellungen-liste.tsx, bestellung-stamm.tsx vorhanden, API: /api/mcp/documents/purchase_order, aber VollstÃ¤ndigkeit prÃ¼fen (Incoterms, Referenzierung zu Bedarf/RFQ/Vertrag);D;1;Frontend;Seiten vorhanden: packages/frontend-web/src/pages/einkauf/bestellung-anlegen.tsx, bestellungen-liste.tsx, bestellung-stamm.tsx;Basic
PROC-PO-02;Purchase Orders;PO-Ã„nderung & Storno;MUSS;No;;;Keine Change-Log/Versionierung gefunden, keine Genehmigungslogik bei Ã„nderungen;C;2;Backend;Erforderlich fÃ¼r Audit;Missing
PROC-PO-03;Purchase Orders;PO-Kommunikation;SOLL;Partial;;;Print-Funktion vorhanden, aber Email/Portal-Versand prÃ¼fen;D;3;Frontend;Print vorhanden, Email/Portal prÃ¼fen;Basic
PROC-PO-04;Purchase Orders;Bestellabrufe / LieferplÃ¤ne;KANN;No;;;Keine Abruf-FunktionalitÃ¤t gefunden, keine Lieferplan/Release-Logik;C;4;Backend;Optional;Missing
PROC-GR-01;Receipt-to-Verify;Wareneingang;MUSS;No;;;Keine GR-FunktionalitÃ¤t gefunden, keine Buchung gegen PO (Teil-/Restmengen, Backorder);C;1;Backend;Kritisch fÃ¼r Source-to-Pay;Missing
PROC-GR-02;Receipt-to-Verify;Retouren an Lieferant;SOLL;No;;;Keine Retouren-FunktionalitÃ¤t gefunden, keine RÃ¼cksendung/Gutschriftbezug;C;3;Backend;Nice-to-have;Missing
PROC-SE-01;Receipt-to-Verify;Service Entry Sheet (SES);SOLL;No;;;Keine SES-FunktionalitÃ¤t gefunden, keine Leistungserfassung/PrÃ¼fung/Freigabe;C;3;Backend;Nice-to-have;Missing
PROC-IV-01;Invoice-to-Pay;Eingangsrechnung;MUSS;Partial;;;rechnungseingang.tsx und rechnungseingaenge-liste.tsx vorhanden, Backend Modul: app.api.v1.endpoints.ap_invoices, aber PDF/OCR/Schnittstellen-Import fehlt, Steuer/Kontierung/Anlagebezug pruefen;D;1;Frontend;Seiten vorhanden: packages/frontend-web/src/pages/einkauf/rechnungseingang.tsx, rechnungseingaenge-liste.tsx, Backend: ap_invoices.py;Basic
PROC-IV-02;Invoice-to-Pay;2/3-Wege-Abgleich;MUSS;No;;;Keine Abgleich-FunktionalitÃ¤t gefunden (Menge/Preis/Toleranzen), keine Blockierung bei Abweichungen;C;1;Backend;Kritisch fÃ¼r AP;Missing
PROC-IV-03;Invoice-to-Pay;Rechnungsfreigabe;MUSS;Partial;;;Workflow vorhanden (workflow_service.py), aber Approval-Logik nach Toleranzen/Betrag/Warengruppe prÃ¼fen;B;1;Backend;Workflow vorhanden, Approval-Regeln prÃ¼fen;Basic
PROC-PAY-01;Invoice-to-Pay;ZahlungslÃ¤ufe;MUSS;Partial;;;zahlungslauf-kreditoren.tsx vorhanden, aber SEPA-Export/Status/Skonto prÃ¼fen;D;1;Frontend;Seite vorhanden, SEPA-Export prÃ¼fen;Basic
PROC-PAY-02;Invoice-to-Pay;Gutschriften/Belastungen;SOLL;No;;;Keine Credit/Debit-Memo-FunktionalitÃ¤t gefunden, keine Verrechnung;C;3;Backend;Nice-to-have;Missing
PROC-REP-01;Reporting;Standardreports Einkauf;MUSS;No;;;Keine Procurement-Reports gefunden (Offene Bestellungen, Spend-Analyse, Lieferantenperformance);C;2;Backend;Erforderlich;Missing
PROC-REP-02;Reporting;Belegkette / Audit Trail;SOLL;No;;;Keine Drilldown-FunktionalitÃ¤t gefunden (Bedarf â†’ RFQ â†’ PO â†’ GR/SES â†’ IV â†’ Pay);C;3;Backend;Nice-to-have;Missing
PROC-AUTH-01;Rollen/Workflows;Rollenmodell Einkauf;MUSS;Partial;;;RBAC vorhanden, aber Rollen prÃ¼fen (Bedarfsersteller, Genehmiger, EinkÃ¤ufer, Wareneingang, AP, Admin);B;1;Backend;RBAC vorhanden, Rollen-Definition prÃ¼fen;Basic
PROC-AUTH-02;Rollen/Workflows;Workflow-Regeln;MUSS;Partial;;;Workflow-System vorhanden (workflow_service.py, purchase-order-workflow-service.ts), aber Regeln prÃ¼fen (Freigaben, Toleranzen, Eskalation);B;1;Backend;Workflow vorhanden, Regeln prÃ¼fen;Basic
PROC-INT-01;Integrationen;API / Import / Export;MUSS;Partial;;;API vorhanden (/api/mcp/documents/purchase_order), aber Import/Export (CSV/Excel/API/Webhooks) prÃ¼fen;B;2;Backend;API vorhanden, Import/Export prÃ¼fen;Basic
PROC-INT-02;Integrationen;EDI / Lieferantenportal;KANN;No;;;Keine EDI-FunktionalitÃ¤t gefunden (ORDERS, ORDRSP, DESADV, INVOIC), kein Portal-Self-Service;C;4;Backend;Optional;Missing
PROC-INT-03;Integrationen;Katalog / Punchout;KANN;No;;;Keine Punchout-FunktionalitÃ¤t gefunden (OCI/cXML), kein Preis-Sync;C;5;Backend;Optional;Missing

